Company Name,Raw Card Text,Company Rating,Reviews,Industry,Location
AU Small Finance Bank,AU Small Finance Bank | Follow | 3.8 | (15k) | Banking | Jaipur +830 other locations | To view salary insights | Select designation | 15k | Reviews | 30.5k | Salaries | 742 | Interviews | 3.2k | Jobs | 637 | Benefits | 28 | Photos,3.8,30.5,Banking,Jaipur +830 other locations
Tata Motors,"Tata Motors | Follow | 4.1 | (14.8k) | Automobile | Pune +522 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Company Culture, Work Life Balance | Critically Rated For | Promotions | To view salary insights | Select designation | 14.8k | Reviews | 44.2k | Salaries | 1.4k | Interviews | 39 | Jobs | 1.7k | Benefits | 59 | Photos",4.1,44.2,Automobile,Pune +522 other locations
Bajaj Finserv,"Bajaj Finserv | Follow | 3.9 | (14.2k) | NBFC | Pune +1256 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Salary, Skill Development, Job Security | To view salary insights | Select designation | 14.2k | Reviews | 32.6k | Salaries | 842 | Interviews | 5 | Jobs | 763 | Benefits | 24 | Photos",3.9,32.6,NBFC,Pune +1256 other locations
Flipkart,"Flipkart | Follow | 3.9 | (13.8k) | Internet | Bengaluru +577 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Company Culture, Skill Development, Salary | Critically Rated For | Promotions | To view salary insights | Select designation | 13.8k | Reviews | 57.6k | Salaries | 1.8k | Interviews | 82 | Jobs | 1.4k | Benefits | 116 | Photos",3.9,57.6,Internet,Bengaluru +577 other locations
PwC,"PwC | Follow | 3.3 | (13.6k) | Management Consulting | Bengaluru +152 other locations | Critically Rated For | Promotions, Work Life Balance, Work Satisfaction | To view salary insights | Select designation | 13.6k | Reviews | 1.3L | Salaries | 1.6k | Interviews | 1.5k | Jobs | 907 | Benefits | 24 | Photos",3.3,130000.0,Management Consulting,Bengaluru +152 other locations
Muthoot FinCorp,"Muthoot FinCorp | Follow | 4.5 | (13.6k) | NBFC | Bengaluru +1139 other locations | Highly Rated For | Company Culture, Work Life Balance, Job Security | To view salary insights | Select designation | 13.6k | Reviews | 9.9k | Salaries | 2.4k | Interviews | 56 | Jobs | 334 | Benefits | 106 | Photos",4.5,9.9,NBFC,Bengaluru +1139 other locations
Mahindra & Mahindra,"Mahindra & Mahindra | Follow | 4.0 | (12.8k) | Automobile | Pune +583 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Skill Development, Company Culture | Critically Rated For | Promotions | To view salary insights | Select designation | 12.8k | Reviews | 41.8k | Salaries | 923 | Interviews | 2 | Jobs | 1.2k | Benefits | 22 | Photos",4.0,41.8,Automobile,Pune +583 other locations
HDFC Life,HDFC Life | Follow | 3.8 | (12.8k) | Insurance | Mumbai +740 other locations | Highly Rated For | Skill Development | Critically Rated For | Promotions | To view salary insights | Select designation | 12.8k | Reviews | 34.2k | Salaries | 854 | Interviews | 218 | Jobs | 670 | Benefits | 60 | Photos,3.8,34.2,Insurance,Mumbai +740 other locations
Infosys BPM,"Infosys BPM | Follow | 3.5 | (12.7k) | BPO | Bengaluru +99 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 12.7k | Reviews | 79.5k | Salaries | 1.1k | Interviews | 171 | Jobs | 1.2k | Benefits | 15 | Photos",3.5,79.5,BPO,Bengaluru +99 other locations
DXC Technology,"DXC Technology | Follow | 3.6 | (12.5k) | IT Services & Consulting | Bengaluru +134 other locations | Highly Rated For | Work Life Balance | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 12.5k | Reviews | 73.8k | Salaries | 917 | Interviews | 96 | Jobs | 1.2k | Benefits | 9 | Photos",3.6,73.8,IT Services & Consulting,Bengaluru +134 other locations
